row_id,Design,Previous_description,Description,Fanout,Cap,Slew,Delay,X_drive,Y_drive,X_sink,Y_sink,C_drive,C_sink,X_context,Y_context,σ(X)_context,σ(Y)_context,Drive_cell_size,Sink_cell_size,Delta
343,s15850,_0340_/A (sky130_fd_sc_hd__inv_2),_0340_/Y (sky130_fd_sc_hd__inv_2),0.0,0.0,0.25,2.08,143060.0,190400.0,143060.0,190400.0,0.004578,0.344248,139380.0,212160.0,0.0,0.0,2.0,2.0,-1.85
441,s15850,_0346_/A (sky130_fd_sc_hd__inv_2),_0346_/Y (sky130_fd_sc_hd__inv_2),0.0,0.0,0.22,2.15,171580.0,103360.0,171580.0,103360.0,0.004578,0.344248,12000.0,12000.0,0.0,0.0,2.0,2.0,-1.85
566,s15850,_0350_/A (sky130_fd_sc_hd__nand2_2),_0350_/Y (sky130_fd_sc_hd__nand2_2),0.0,0.0,0.09,0.66,206080.0,217600.0,206080.0,217600.0,0.004548,0.311289,205620.0,225760.0,0.0,0.0,2.0,2.0,-0.43
565,s15850,_0350_/Y (sky130_fd_sc_hd__nand2_2),_0363_/B1 (sky130_fd_sc_hd__a31oi_2),2.0,0.01,0.09,0.0,206080.0,217600.0,207000.0,228480.0,0.311289,0.004491,205620.0,225760.0,0.0,0.0,2.0,2.0,0.01
564,s15850,_0363_/B1 (sky130_fd_sc_hd__a31oi_2),_0363_/Y (sky130_fd_sc_hd__a31oi_2),0.0,0.0,0.58,3.48,207000.0,228480.0,207000.0,228480.0,0.004491,0.124522,131165.7142857143,224982.8571428572,9499.597986481424,3409.700447672368,2.0,2.0,-2.55
720,s15850,_0891_/Q (sky130_fd_sc_hd__dfrtp_2),_0367_/B (sky130_fd_sc_hd__nand4_2),8.0,0.03,0.15,0.0,215740.0,193120.0,238740.0,195840.0,0.338755,0.004505,232234.2857142857,196617.14285714287,7857.919268998329,3753.956642822407,2.0,2.0,0.02
719,s15850,_0367_/B (sky130_fd_sc_hd__nand4_2),_0367_/Y (sky130_fd_sc_hd__nand4_2),0.0,0.0,0.22,1.6,238740.0,195840.0,238740.0,195840.0,0.004505,0.170298,232070.0,177480.0,10499.69523367226,23958.14127459251,2.0,2.0,0.7799999999999998
718,s15850,_0367_/Y (sky130_fd_sc_hd__nand4_2),_0371_/B1 (sky130_fd_sc_hd__a21oi_2),5.0,0.03,0.22,0.0,238740.0,195840.0,242880.0,146880.0,0.170298,0.004515,232070.0,177480.0,10499.69523367226,23958.14127459251,2.0,2.0,0.01
717,s15850,_0371_/B1 (sky130_fd_sc_hd__a21oi_2),_0371_/Y (sky130_fd_sc_hd__a21oi_2),0.0,0.0,0.16,1.53,242880.0,146880.0,242880.0,146880.0,0.004515,0.134592,234140.0,146880.0,0.0,0.0,2.0,2.0,1.26
716,s15850,_0371_/Y (sky130_fd_sc_hd__a21oi_2),_0381_/B1 (sky130_fd_sc_hd__o21ai_2),2.0,0.01,0.16,0.0,242880.0,146880.0,234140.0,144160.0,0.134592,0.004489,234140.0,146880.0,0.0,0.0,2.0,2.0,0.0
715,s15850,_0381_/B1 (sky130_fd_sc_hd__o21ai_2),_0381_/Y (sky130_fd_sc_hd__o21ai_2),0.0,0.0,0.07,0.72,234140.0,144160.0,234140.0,144160.0,0.004489,0.145579,232300.0,152320.0,650.5382386916237,3846.660889654818,2.0,2.0,1.53
562,s15850,_0381_/Y (sky130_fd_sc_hd__o21ai_2),_0383_/B (sky130_fd_sc_hd__nand2_2),3.0,0.01,0.07,0.0,234140.0,144160.0,236900.0,146880.0,0.145579,0.004547,232300.0,152320.0,650.5382386916237,3846.660889654818,2.0,2.0,0.0
561,s15850,_0383_/B (sky130_fd_sc_hd__nand2_2),_0383_/Y (sky130_fd_sc_hd__nand2_2),0.0,0.0,0.05,0.55,236900.0,146880.0,236900.0,146880.0,0.004547,0.311289,12000.0,12000.0,0.0,0.0,2.0,2.0,-0.2
560,s15850,_0383_/Y (sky130_fd_sc_hd__nand2_2),_0407_/B1 (sky130_fd_sc_hd__o21ai_2),1.0,0.01,0.05,0.0,236900.0,146880.0,237820.0,149600.0,0.311289,0.004489,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0
559,s15850,_0407_/B1 (sky130_fd_sc_hd__o21ai_2),_0407_/Y (sky130_fd_sc_hd__o21ai_2),0.0,0.0,0.07,0.53,237820.0,149600.0,237820.0,149600.0,0.004489,0.145579,235520.0,164560.0,7155.9206256078605,1923.330444827409,2.0,2.0,-0.02
558,s15850,_0407_/Y (sky130_fd_sc_hd__o21ai_2),_0409_/A2 (sky130_fd_sc_hd__o211a_2),3.0,0.01,0.07,0.0,237820.0,149600.0,242880.0,176800.0,0.145579,0.002381,235520.0,164560.0,7155.9206256078605,1923.330444827409,2.0,2.0,0.01
557,s15850,_0409_/A2 (sky130_fd_sc_hd__o211a_2),_0409_/X (sky130_fd_sc_hd__o211a_2),0.0,0.0,0.04,1.66,242880.0,176800.0,242880.0,176800.0,0.002381,0.280161,12000.0,12000.0,0.0,0.0,2.0,2.0,-1.02
554,s15850,_0933_/Q (sky130_fd_sc_hd__dfrtp_2),_0411_/D (sky130_fd_sc_hd__and4_2),6.0,0.07,0.19,0.0,166520.0,187680.0,165600.0,204000.0,0.338755,0.001568,12000.0,12000.0,0.0,0.0,2.0,2.0,0.02
553,s15850,_0411_/D (sky130_fd_sc_hd__and4_2),_0411_/X (sky130_fd_sc_hd__and4_2),0.0,0.0,0.04,2.1,165600.0,204000.0,165600.0,204000.0,0.001568,0.317698,165140.0,195840.0,0.0,0.0,2.0,2.0,-0.9500000000000002
552,s15850,_0411_/X (sky130_fd_sc_hd__and4_2),_0413_/C (sky130_fd_sc_hd__and3_2),2.0,0.0,0.04,0.0,165600.0,204000.0,173420.0,209440.0,0.317698,0.001559,165140.0,195840.0,0.0,0.0,2.0,2.0,0.0
551,s15850,_0413_/C (sky130_fd_sc_hd__and3_2),_0413_/X (sky130_fd_sc_hd__and3_2),0.0,0.0,0.06,1.65,173420.0,209440.0,173420.0,209440.0,0.001559,0.325022,162073.33333333334,222133.3333333333,6125.661869001042,6281.570928783129,2.0,2.0,-0.6099999999999999
550,s15850,_0413_/X (sky130_fd_sc_hd__and3_2),_0414_/C (sky130_fd_sc_hd__and3_2),4.0,0.01,0.06,0.0,173420.0,209440.0,170660.0,228480.0,0.325022,0.001559,162073.33333333334,222133.3333333333,6125.661869001042,6281.570928783129,2.0,2.0,0.01
